Sales Period,Total Views,Policy,Gross Revenue (USD),Exchange Rate,Tunecore Commision,Net Revenue,Net Revenue Currency,YouTube Video Link,Song Name,Album Name,Label Name,Artist Name
2015-02-01,53,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=N_zZyjfzgd0,Real Rappers (feat. Juice),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,3,monetize,0.000004,1.2412,0.2,0.000004,CAD,http://www.youtube.com/watch?v=NptDgk5auz0,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,8,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=ONXjTsV5rRg,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=ONXjTsV5rRg,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,6,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=OUnXAeo0DHk,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,4,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=Oq_uf3JnbLY,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,7,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=OuOq-sB7CZo,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,2,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=Oy6lOFgaiHA,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=PE85sPBuSRY,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,65,monetize,0.000209,1.2412,0.2,0.000207,CAD,http://www.youtube.com/watch?v=PVuSo0uqo4E,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,2,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=QQcpMaFNxE0,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=R953vF66p0Q,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,7,monetize,0.000536,1.2412,0.2,0.000532,CAD,http://www.youtube.com/watch?v=RcJ4jwmmX5s,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=Rzmpyar6b3w,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,49,monetize,0.000038,1.2412,0.2,0.000037,CAD,http://www.youtube.com/watch?v=SByPWFvTDF0,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,8,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=SByPWFvTDF0,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,29,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=StfnIbo4meM,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,0,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=StfnIbo4meM,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
